Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,AvgW,AvgL
Auckland,ASB Classic,2009-01-04,International,Outdoor,Hard,1st Round,3,Rezai A.,Daniilidou E.,97.0,152.0,706.0,414.0,6.0,3.0,3.0,6.0,6.0,3.0,2.0,1.0,Completed,1.42,2.72
Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Vaidisova N.,Kudryavtseva A.,40.0,68.0,1360.0,916.0,7.0,6.0,4.0,6.0,7.0,5.0,2.0,1.0,Completed,1.43,2.69
Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Zahlavova Strycova B.,Razzano V.,74.0,57.0,866.0,1064.0,1.0,6.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,2.93,1.37
Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Craybas J.,Date Krumm K.,64.0,186.0,974.0,316.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.4,2.8
Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Gallovits E.,Zakopalova K.,75.0,70.0,864.0,884.0,3.0,6.0,6.0,2.0,7.0,5.0,2.0,1.0,Completed,1.7,2.09
Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Peer S.,Cetkovska P.,39.0,81.0,1376.0,810.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.33,3.21
Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Wozniak A.,Rybarikova M.,33.0,58.0,1630.0,1058.0,6.0,3.0,6.0,7.0,7.0,5.0,2.0,1.0,Completed,1.66,2.13
Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Santangelo M.,22.0,131.0,2172.0,494.0,7.0,5.0,6.0,0.0,,,2.0,0.0,Completed,1.26,3.64
Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Vesnina E.,Nakamura A.,76.0,144.0,850.0,438.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.52,2.43
Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Suarez Navarro C.,Dechy N.,46.0,67.0,1170.0,926.0,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,2.49,1.5
Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Brianti A.,12.0,172.0,3330.0,358.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.07,7.6
Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Dementieva E.,Chan Y.J.,4.0,73.0,7196.0,872.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.06,7.84
Auckland,ASB Classic,2009-01-05,International,Outdoor,Hard,1st Round,3,Morita A.,Domachowska M.,83.0,63.0,784.0,998.0,6.0,4.0,4.0,6.0,6.0,4.0,2.0,1.0,Completed,1.83,1.88
Auckland,ASB Classic,2009-01-06,International,Outdoor,Hard,1st Round,3,Erakovic M.,Llagostera Vives N.,69.0,65.0,898.0,968.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.88,1.84
Auckland,ASB Classic,2009-01-06,International,Outdoor,Hard,1st Round,3,Keothavong A.,Lucic M.,60.0,435.0,1020.0,92.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.37,2.94
Auckland,ASB Classic,2009-01-06,International,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Barrois K.,43.0,89.0,1232.0,766.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.36,3.01
Auckland,ASB Classic,2009-01-06,International,Outdoor,Hard,2nd Round,3,Vesnina E.,Vaidisova N.,76.0,40.0,850.0,1360.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,2.46,1.52
Auckland,ASB Classic,2009-01-06,International,Outdoor,Hard,2nd Round,3,Peer S.,Zahlavova Strycova B.,39.0,74.0,1376.0,866.0,6.0,3.0,4.0,6.0,6.0,2.0,2.0,1.0,Completed,1.39,2.86
Auckland,ASB Classic,2009-01-06,International,Outdoor,Hard,2nd Round,3,Wozniacki C.,Craybas J.,12.0,64.0,3330.0,974.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,1.1,6.88
Auckland,ASB Classic,2009-01-07,International,Outdoor,Hard,2nd Round,3,Rezai A.,Pavlyuchenkova A.,97.0,43.0,706.0,1232.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,2.79,1.41
Auckland,ASB Classic,2009-01-07,International,Outdoor,Hard,2nd Round,3,Keothavong A.,Suarez Navarro C.,60.0,46.0,1020.0,1170.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.85,1.87
Auckland,ASB Classic,2009-01-07,International,Outdoor,Hard,2nd Round,3,Dementieva E.,Erakovic M.,4.0,69.0,7196.0,898.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.09,6.9
Auckland,ASB Classic,2009-01-07,International,Outdoor,Hard,2nd Round,3,Gallovits E.,Medina Garrigues A.,75.0,22.0,864.0,2172.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,3.52,1.28
